From Date,To Date,CO,PM2.5
16-02-2023 00:00,17-02-2023 00:00,1.35,67.16
17-02-2023 00:00,18-02-2023 00:00,1.23,61.03
18-02-2023 00:00,19-02-2023 00:00,1.57,82.03
19-02-2023 00:00,20-02-2023 00:00,1.36,88.67
20-02-2023 00:00,21-02-2023 00:00,1.33,84.91
21-02-2023 00:00,22-02-2023 00:00,1.08,66.48
22-02-2023 00:00,23-02-2023 00:00,1.01,53.36
23-02-2023 00:00,24-02-2023 00:00,0.78,25
24-02-2023 00:00,25-02-2023 00:00,0.77,35.52
25-02-2023 00:00,26-02-2023 00:00,1.03,43.04
26-02-2023 00:00,27-02-2023 00:00,1.07,54.99
27-02-2023 00:00,28-02-2023 00:00,1.02,52.09
28-02-2023 00:00,01-03-2023 00:00,0.76,46.62
01-03-2023 00:00,02-03-2023 00:00,0.56,28.98
02-03-2023 00:00,03-03-2023 00:00,0.75,36.04
03-03-2023 00:00,04-03-2023 00:00,0.74,38.66
04-03-2023 00:00,05-03-2023 00:00,0.74,43.66
05-03-2023 00:00,06-03-2023 00:00,0.68,45.05
06-03-2023 00:00,07-03-2023 00:00,0.76,52.37
07-03-2023 00:00,08-03-2023 00:00,0.73,50.17
08-03-2023 00:00,09-03-2023 00:00,0.73,40.31
09-03-2023 00:00,10-03-2023 00:00,0.8,48.01
10-03-2023 00:00,11-03-2023 00:00,0.82,57.57
11-03-2023 00:00,12-03-2023 00:00,0.89,68.61
12-03-2023 00:00,13-03-2023 00:00,0.97,75.11
13-03-2023 00:00,14-03-2023 00:00,1.01,84.57
14-03-2023 00:00,15-03-2023 00:00,0.84,63.79
15-03-2023 00:00,16-03-2023 00:00,0.79,41.76
16-03-2023 00:00,17-03-2023 00:00,0.71,28.67
17-03-2023 00:00,18-03-2023 00:00,0.5,18.49
18-03-2023 00:00,19-03-2023 00:00,0.56,27.4
19-03-2023 00:00,20-03-2023 00:00,0.86,28.34
20-03-2023 00:00,21-03-2023 00:00,0.49,15.78
21-03-2023 00:00,22-03-2023 00:00,0.26,10.27
22-03-2023 00:00,23-03-2023 00:00,0,25.28
23-03-2023 00:00,24-03-2023 00:00,0,23.02
24-03-2023 00:00,25-03-2023 00:00,0,26.79
25-03-2023 00:00,26-03-2023 00:00,0,7.85
26-03-2023 00:00,27-03-2023 00:00,0,7.43
27-03-2023 00:00,28-03-2023 00:00,0,23.82
28-03-2023 00:00,29-03-2023 00:00,0,12.01
29-03-2023 00:00,30-03-2023 00:00,0,18.88
30-03-2023 00:00,31-03-2023 00:00,0,28.35
31-03-2023 00:00,01-04-2023 00:00,0,12.75
01-04-2023 00:00,02-04-2023 00:00,0,9.55
02-04-2023 00:00,03-04-2023 00:00,0,13.59
03-04-2023 00:00,04-04-2023 00:00,0,18.05
04-04-2023 00:00,05-04-2023 00:00,0,9.1
05-04-2023 00:00,06-04-2023 00:00,0,11.02
06-04-2023 00:00,07-04-2023 00:00,0,6.57
07-04-2023 00:00,08-04-2023 00:00,0.18,8
08-04-2023 00:00,09-04-2023 00:00,0.37,11.77
09-04-2023 00:00,10-04-2023 00:00,0.35,17.41
10-04-2023 00:00,11-04-2023 00:00,0.35,8.73
11-04-2023 00:00,12-04-2023 00:00,0.32,14.95
12-04-2023 00:00,13-04-2023 00:00,0.42,7.66
13-04-2023 00:00,14-04-2023 00:00,None,None
14-04-2023 00:00,15-04-2023 00:00,None,None
15-04-2023 00:00,16-04-2023 00:00,None,None
16-04-2023 00:00,17-04-2023 00:00,None,None
17-04-2023 00:00,18-04-2023 00:00,None,None
18-04-2023 00:00,19-04-2023 00:00,0.32,11.39
19-04-2023 00:00,20-04-2023 00:00,0.31,18.2
20-04-2023 00:00,21-04-2023 00:00,0.34,15.41
21-04-2023 00:00,22-04-2023 00:00,0.35,34.08
22-04-2023 00:00,23-04-2023 00:00,0.35,14.93
23-04-2023 00:00,24-04-2023 00:00,0.34,30.71
24-04-2023 00:00,25-04-2023 00:00,0.37,43.6
25-04-2023 00:00,26-04-2023 00:00,0.32,35.66
26-04-2023 00:00,27-04-2023 00:00,0.37,44.18
27-04-2023 00:00,28-04-2023 00:00,0.37,52.18
28-04-2023 00:00,29-04-2023 00:00,0.37,46.55
29-04-2023 00:00,30-04-2023 00:00,0.37,64.68
30-04-2023 00:00,01-05-2023 00:00,0.37,36.32
01-05-2023 00:00,02-05-2023 00:00,0.35,20.81
02-05-2023 00:00,03-05-2023 00:00,0.36,27.76
03-05-2023 00:00,04-05-2023 00:00,0.37,17.22
04-05-2023 00:00,05-05-2023 00:00,0.37,27.97
05-05-2023 00:00,06-05-2023 00:00,0.36,37.79
06-05-2023 00:00,07-05-2023 00:00,1.41,41.74
07-05-2023 00:00,08-05-2023 00:00,2.4,35.67
08-05-2023 00:00,09-05-2023 00:00,1.85,29.16
09-05-2023 00:00,10-05-2023 00:00,1.39,40.61
10-05-2023 00:00,11-05-2023 00:00,1.4,38.99
11-05-2023 00:00,12-05-2023 00:00,1.4,77.02
12-05-2023 00:00,13-05-2023 00:00,1.4,71.48
13-05-2023 00:00,14-05-2023 00:00,1.39,70.98
14-05-2023 00:00,15-05-2023 00:00,1.39,59.81
15-05-2023 00:00,16-05-2023 00:00,1.4,68.98
16-05-2023 00:00,17-05-2023 00:00,1.38,116.43
17-05-2023 00:00,18-05-2023 00:00,1.38,60.97
18-05-2023 00:00,19-05-2023 00:00,1.32,42.53
19-05-2023 00:00,20-05-2023 00:00,1.39,40.87
20-05-2023 00:00,21-05-2023 00:00,1.33,48.82
21-05-2023 00:00,22-05-2023 00:00,1.4,62.38
22-05-2023 00:00,23-05-2023 00:00,1.39,71.51
23-05-2023 00:00,24-05-2023 00:00,1.94,59.98
24-05-2023 00:00,25-05-2023 00:00,0.38,21.55
25-05-2023 00:00,26-05-2023 00:00,0.54,9
26-05-2023 00:00,27-05-2023 00:00,0.23,21.24
27-05-2023 00:00,28-05-2023 00:00,0.19,21.22
28-05-2023 00:00,29-05-2023 00:00,0.02,28.6
29-05-2023 00:00,30-05-2023 00:00,0.01,30.22
30-05-2023 00:00,31-05-2023 00:00,0.01,21.69
31-05-2023 00:00,01-06-2023 00:00,0.01,18.07
01-06-2023 00:00,02-06-2023 00:00,0.53,13.99
02-06-2023 00:00,03-06-2023 00:00,0.75,14.08
03-06-2023 00:00,04-06-2023 00:00,0.51,43.82
04-06-2023 00:00,05-06-2023 00:00,0.51,25.74
05-06-2023 00:00,06-06-2023 00:00,0.51,29.9
06-06-2023 00:00,07-06-2023 00:00,0.51,17.39
07-06-2023 00:00,08-06-2023 00:00,0.5,19.61
08-06-2023 00:00,09-06-2023 00:00,0.5,21.58
09-06-2023 00:00,10-06-2023 00:00,0.5,26.43
10-06-2023 00:00,11-06-2023 00:00,0.5,35.88
11-06-2023 00:00,12-06-2023 00:00,0.49,20.35
12-06-2023 00:00,13-06-2023 00:00,0.5,26.13
13-06-2023 00:00,14-06-2023 00:00,0.48,38.41
14-06-2023 00:00,15-06-2023 00:00,0.51,24.06
15-06-2023 00:00,16-06-2023 00:00,0.5,15.55
16-06-2023 00:00,17-06-2023 00:00,0.5,34.1
17-06-2023 00:00,18-06-2023 00:00,0.49,37.45
18-06-2023 00:00,19-06-2023 00:00,0.5,23.95
19-06-2023 00:00,20-06-2023 00:00,0.49,30.99
20-06-2023 00:00,21-06-2023 00:00,0.5,26.35
21-06-2023 00:00,22-06-2023 00:00,0.5,30.35
22-06-2023 00:00,23-06-2023 00:00,0.51,31.04
23-06-2023 00:00,24-06-2023 00:00,0.61,23.12
24-06-2023 00:00,25-06-2023 00:00,0.59,17.46
25-06-2023 00:00,26-06-2023 00:00,0.6,8.65
