From Date,To Date,PM2.5,CO
16-02-2023 00:00,17-02-2023 00:00,104.44,0.64
17-02-2023 00:00,18-02-2023 00:00,111.84,0.55
18-02-2023 00:00,19-02-2023 00:00,76.38,0.45
19-02-2023 00:00,20-02-2023 00:00,71.89,0.52
20-02-2023 00:00,21-02-2023 00:00,89.42,0.69
21-02-2023 00:00,22-02-2023 00:00,76.83,0.67
22-02-2023 00:00,23-02-2023 00:00,55.86,0.61
23-02-2023 00:00,24-02-2023 00:00,52.5,0.45
24-02-2023 00:00,25-02-2023 00:00,70.7,0.51
25-02-2023 00:00,26-02-2023 00:00,91.15,0.56
26-02-2023 00:00,27-02-2023 00:00,79.87,0.74
27-02-2023 00:00,28-02-2023 00:00,71.24,0.68
28-02-2023 00:00,01-03-2023 00:00,44.11,0.64
01-03-2023 00:00,02-03-2023 00:00,33.61,0.66
02-03-2023 00:00,03-03-2023 00:00,43.1,0.65
03-03-2023 00:00,04-03-2023 00:00,36.82,0.52
04-03-2023 00:00,05-03-2023 00:00,47.42,0.62
05-03-2023 00:00,06-03-2023 00:00,51.52,0.57
06-03-2023 00:00,07-03-2023 00:00,65.4,0.55
07-03-2023 00:00,08-03-2023 00:00,59.7,0.57
08-03-2023 00:00,09-03-2023 00:00,64.83,0.49
09-03-2023 00:00,10-03-2023 00:00,43.44,0.4
10-03-2023 00:00,11-03-2023 00:00,67.32,0.47
11-03-2023 00:00,12-03-2023 00:00,67.69,0.42
12-03-2023 00:00,13-03-2023 00:00,72.33,0.72
13-03-2023 00:00,14-03-2023 00:00,59.98,0.41
14-03-2023 00:00,15-03-2023 00:00,45.83,0.82
15-03-2023 00:00,16-03-2023 00:00,59.98,0.55
16-03-2023 00:00,17-03-2023 00:00,41.18,0.72
17-03-2023 00:00,18-03-2023 00:00,34.58,0.53
18-03-2023 00:00,19-03-2023 00:00,31.69,0.62
19-03-2023 00:00,20-03-2023 00:00,37.59,0.76
20-03-2023 00:00,21-03-2023 00:00,43.68,0.71
21-03-2023 00:00,22-03-2023 00:00,41.2,0.65
22-03-2023 00:00,23-03-2023 00:00,61.79,0.69
23-03-2023 00:00,24-03-2023 00:00,69.93,0.66
24-03-2023 00:00,25-03-2023 00:00,56.51,0.67
25-03-2023 00:00,26-03-2023 00:00,47.9,0.56
26-03-2023 00:00,27-03-2023 00:00,52.23,0.48
27-03-2023 00:00,28-03-2023 00:00,61.25,0.63
28-03-2023 00:00,29-03-2023 00:00,69.93,0.69
29-03-2023 00:00,30-03-2023 00:00,85.64,0.82
30-03-2023 00:00,31-03-2023 00:00,65.56,0.72
31-03-2023 00:00,01-04-2023 00:00,49.28,0.69
01-04-2023 00:00,02-04-2023 00:00,49.95,0.65
02-04-2023 00:00,03-04-2023 00:00,55.54,0.73
03-04-2023 00:00,04-04-2023 00:00,55.11,0.59
04-04-2023 00:00,05-04-2023 00:00,51.41,0.59
05-04-2023 00:00,06-04-2023 00:00,67.39,0.59
06-04-2023 00:00,07-04-2023 00:00,63.03,0.62
07-04-2023 00:00,08-04-2023 00:00,60.87,0.66
08-04-2023 00:00,09-04-2023 00:00,65,0.69
09-04-2023 00:00,10-04-2023 00:00,82.92,0.71
10-04-2023 00:00,11-04-2023 00:00,66.49,0.61
11-04-2023 00:00,12-04-2023 00:00,68.74,0.67
12-04-2023 00:00,13-04-2023 00:00,77.88,0.7
13-04-2023 00:00,14-04-2023 00:00,78.42,0.71
14-04-2023 00:00,15-04-2023 00:00,80.37,0.75
15-04-2023 00:00,16-04-2023 00:00,79.19,0.85
16-04-2023 00:00,17-04-2023 00:00,61.98,0.73
17-04-2023 00:00,18-04-2023 00:00,56.32,0.67
18-04-2023 00:00,19-04-2023 00:00,60.19,0.72
19-04-2023 00:00,20-04-2023 00:00,57.66,0.64
20-04-2023 00:00,21-04-2023 00:00,42.3,0.72
21-04-2023 00:00,22-04-2023 00:00,35.26,0.75
22-04-2023 00:00,23-04-2023 00:00,42.93,0.85
23-04-2023 00:00,24-04-2023 00:00,41.09,0.73
24-04-2023 00:00,25-04-2023 00:00,69.91,0.83
25-04-2023 00:00,26-04-2023 00:00,70.49,0.74
26-04-2023 00:00,27-04-2023 00:00,79.75,0.7
27-04-2023 00:00,28-04-2023 00:00,51.65,0.71
28-04-2023 00:00,29-04-2023 00:00,66.17,0.75
29-04-2023 00:00,30-04-2023 00:00,68.04,0.76
30-04-2023 00:00,01-05-2023 00:00,48.31,0.68
01-05-2023 00:00,02-05-2023 00:00,48.14,0.63
02-05-2023 00:00,03-05-2023 00:00,36.83,0.63
03-05-2023 00:00,04-05-2023 00:00,36.1,0.27
04-05-2023 00:00,05-05-2023 00:00,43.75,0.21
05-05-2023 00:00,06-05-2023 00:00,36.36,0.21
06-05-2023 00:00,07-05-2023 00:00,56.04,0.22
07-05-2023 00:00,08-05-2023 00:00,43.7,0.59
08-05-2023 00:00,09-05-2023 00:00,69.88,0.59
09-05-2023 00:00,10-05-2023 00:00,53.42,0.73
10-05-2023 00:00,11-05-2023 00:00,72.73,0.76
11-05-2023 00:00,12-05-2023 00:00,95.2,0.88
12-05-2023 00:00,13-05-2023 00:00,61.01,0.72
13-05-2023 00:00,14-05-2023 00:00,62.38,0.38
14-05-2023 00:00,15-05-2023 00:00,63.56,0.2
15-05-2023 00:00,16-05-2023 00:00,65.2,0.52
16-05-2023 00:00,17-05-2023 00:00,105.53,0.67
17-05-2023 00:00,18-05-2023 00:00,65.16,0.68
18-05-2023 00:00,19-05-2023 00:00,35.81,0.59
19-05-2023 00:00,20-05-2023 00:00,26.97,0.6
20-05-2023 00:00,21-05-2023 00:00,27.72,0.58
21-05-2023 00:00,22-05-2023 00:00,46.5,0.67
