From Date,To Date,PM2.5,CO
16-02-2023 00:00,17-02-2023 00:00,80.04,1.09
17-02-2023 00:00,18-02-2023 00:00,86.74,1.02
18-02-2023 00:00,19-02-2023 00:00,42.91,0.88
19-02-2023 00:00,20-02-2023 00:00,37.62,0.92
20-02-2023 00:00,21-02-2023 00:00,57.23,0.72
21-02-2023 00:00,22-02-2023 00:00,78.58,0.73
22-02-2023 00:00,23-02-2023 00:00,38.5,0.62
23-02-2023 00:00,24-02-2023 00:00,58.89,0.93
24-02-2023 00:00,25-02-2023 00:00,74.61,1.17
25-02-2023 00:00,26-02-2023 00:00,73.73,0.89
26-02-2023 00:00,27-02-2023 00:00,84.66,0.96
27-02-2023 00:00,28-02-2023 00:00,51.19,0.6
28-02-2023 00:00,01-03-2023 00:00,35.97,0.66
01-03-2023 00:00,02-03-2023 00:00,29.8,0.43
02-03-2023 00:00,03-03-2023 00:00,51.69,0.5
03-03-2023 00:00,04-03-2023 00:00,39.59,0.63
04-03-2023 00:00,05-03-2023 00:00,42.28,0.78
05-03-2023 00:00,06-03-2023 00:00,51.54,0.76
06-03-2023 00:00,07-03-2023 00:00,61.05,0.94
07-03-2023 00:00,08-03-2023 00:00,54.88,1.08
08-03-2023 00:00,09-03-2023 00:00,54.02,0.79
09-03-2023 00:00,10-03-2023 00:00,32.44,0.69
10-03-2023 00:00,11-03-2023 00:00,69.92,1.05
11-03-2023 00:00,12-03-2023 00:00,65.41,1.12
12-03-2023 00:00,13-03-2023 00:00,77.09,0.89
13-03-2023 00:00,14-03-2023 00:00,70.53,0.93
14-03-2023 00:00,15-03-2023 00:00,45.7,0.82
15-03-2023 00:00,16-03-2023 00:00,53.81,0.72
16-03-2023 00:00,17-03-2023 00:00,32.87,0.61
17-03-2023 00:00,18-03-2023 00:00,30.18,0.55
18-03-2023 00:00,19-03-2023 00:00,24.03,0.66
19-03-2023 00:00,20-03-2023 00:00,39.55,0.65
20-03-2023 00:00,21-03-2023 00:00,37.85,0.63
21-03-2023 00:00,22-03-2023 00:00,20.64,0.68
22-03-2023 00:00,23-03-2023 00:00,25.33,0.65
23-03-2023 00:00,24-03-2023 00:00,46.97,0.73
24-03-2023 00:00,25-03-2023 00:00,22.56,0.6
25-03-2023 00:00,26-03-2023 00:00,31.38,0.59
26-03-2023 00:00,27-03-2023 00:00,41.09,0.67
27-03-2023 00:00,28-03-2023 00:00,39.32,0.6
28-03-2023 00:00,29-03-2023 00:00,38.48,0.82
29-03-2023 00:00,30-03-2023 00:00,39.83,0.83
30-03-2023 00:00,31-03-2023 00:00,30.83,0.62
31-03-2023 00:00,01-04-2023 00:00,13.18,0.47
01-04-2023 00:00,02-04-2023 00:00,30.07,0.42
02-04-2023 00:00,03-04-2023 00:00,35.89,0.68
03-04-2023 00:00,04-04-2023 00:00,31.58,0.67
04-04-2023 00:00,05-04-2023 00:00,21.94,0.48
05-04-2023 00:00,06-04-2023 00:00,35.73,0.57
06-04-2023 00:00,07-04-2023 00:00,34.28,0.53
07-04-2023 00:00,08-04-2023 00:00,34.89,0.51
08-04-2023 00:00,09-04-2023 00:00,45.21,0.96
09-04-2023 00:00,10-04-2023 00:00,56.64,0.91
10-04-2023 00:00,11-04-2023 00:00,48.73,0.82
11-04-2023 00:00,12-04-2023 00:00,47.2,0.93
12-04-2023 00:00,13-04-2023 00:00,55.26,0.94
13-04-2023 00:00,14-04-2023 00:00,43.58,0.9
14-04-2023 00:00,15-04-2023 00:00,46.56,0.98
15-04-2023 00:00,16-04-2023 00:00,35.75,0.89
16-04-2023 00:00,17-04-2023 00:00,46.36,0.71
17-04-2023 00:00,18-04-2023 00:00,40.86,1.18
18-04-2023 00:00,19-04-2023 00:00,60.3,0.62
19-04-2023 00:00,20-04-2023 00:00,38.56,0.65
20-04-2023 00:00,21-04-2023 00:00,30.31,0.65
21-04-2023 00:00,22-04-2023 00:00,25.11,0.61
22-04-2023 00:00,23-04-2023 00:00,35.52,0.83
23-04-2023 00:00,24-04-2023 00:00,37.75,0.78
24-04-2023 00:00,25-04-2023 00:00,53.72,0.8
25-04-2023 00:00,26-04-2023 00:00,51.08,0.64
26-04-2023 00:00,27-04-2023 00:00,49.62,0.56
27-04-2023 00:00,28-04-2023 00:00,28.63,0.46
28-04-2023 00:00,29-04-2023 00:00,42.37,0.52
29-04-2023 00:00,30-04-2023 00:00,55.07,0.6
30-04-2023 00:00,01-05-2023 00:00,27.02,0.55
01-05-2023 00:00,02-05-2023 00:00,23.21,0.47
02-05-2023 00:00,03-05-2023 00:00,17.02,0.42
03-05-2023 00:00,04-05-2023 00:00,20.42,0.57
04-05-2023 00:00,05-05-2023 00:00,26.42,0.52
05-05-2023 00:00,06-05-2023 00:00,31.42,0.46
06-05-2023 00:00,07-05-2023 00:00,54.12,0.61
07-05-2023 00:00,08-05-2023 00:00,35.41,0.37
08-05-2023 00:00,09-05-2023 00:00,53.1,0.54
09-05-2023 00:00,10-05-2023 00:00,32.39,0.52
10-05-2023 00:00,11-05-2023 00:00,41.69,0.96
11-05-2023 00:00,12-05-2023 00:00,63.55,1.27
12-05-2023 00:00,13-05-2023 00:00,49.45,1.22
13-05-2023 00:00,14-05-2023 00:00,65.97,1.33
14-05-2023 00:00,15-05-2023 00:00,52.45,0.41
15-05-2023 00:00,16-05-2023 00:00,48.12,0.89
16-05-2023 00:00,17-05-2023 00:00,79.43,0.62
17-05-2023 00:00,18-05-2023 00:00,42.88,0.76
18-05-2023 00:00,19-05-2023 00:00,36.93,0.59
19-05-2023 00:00,20-05-2023 00:00,33.96,0.64
20-05-2023 00:00,21-05-2023 00:00,26.84,0.69
