From Date,To Date,PM2.5,CO
16-02-2023 00:00,17-02-2023 00:00,86.84,1.17
17-02-2023 00:00,18-02-2023 00:00,65.89,1.26
18-02-2023 00:00,19-02-2023 00:00,68.11,1.23
19-02-2023 00:00,20-02-2023 00:00,55.51,1.09
20-02-2023 00:00,21-02-2023 00:00,72.28,1.12
21-02-2023 00:00,22-02-2023 00:00,61.54,0.95
22-02-2023 00:00,23-02-2023 00:00,36.46,0.56
23-02-2023 00:00,24-02-2023 00:00,36.29,0.48
24-02-2023 00:00,25-02-2023 00:00,39.44,0.54
25-02-2023 00:00,26-02-2023 00:00,46.32,0.66
26-02-2023 00:00,27-02-2023 00:00,55.44,0.85
27-02-2023 00:00,28-02-2023 00:00,47.1,0.56
28-02-2023 00:00,01-03-2023 00:00,39.44,0.6
01-03-2023 00:00,02-03-2023 00:00,25.11,0.43
02-03-2023 00:00,03-03-2023 00:00,30.31,0.51
03-03-2023 00:00,04-03-2023 00:00,26.84,0.45
04-03-2023 00:00,05-03-2023 00:00,29.12,0.54
05-03-2023 00:00,06-03-2023 00:00,25.28,0.5
06-03-2023 00:00,07-03-2023 00:00,20.86,0.55
07-03-2023 00:00,08-03-2023 00:00,21.88,0.55
08-03-2023 00:00,09-03-2023 00:00,21.53,0.65
09-03-2023 00:00,10-03-2023 00:00,26.65,0.69
10-03-2023 00:00,11-03-2023 00:00,25.5,0.6
11-03-2023 00:00,12-03-2023 00:00,24.66,0.65
12-03-2023 00:00,13-03-2023 00:00,30.59,0.66
13-03-2023 00:00,14-03-2023 00:00,39.29,0.64
14-03-2023 00:00,15-03-2023 00:00,34.48,0.65
15-03-2023 00:00,16-03-2023 00:00,34.86,0.78
16-03-2023 00:00,17-03-2023 00:00,39.61,0.69
17-03-2023 00:00,18-03-2023 00:00,20.9,0.5
18-03-2023 00:00,19-03-2023 00:00,16.22,0.33
19-03-2023 00:00,20-03-2023 00:00,29.37,0.63
20-03-2023 00:00,21-03-2023 00:00,33.15,0.65
21-03-2023 00:00,22-03-2023 00:00,10.1,0.34
22-03-2023 00:00,23-03-2023 00:00,19.71,0.54
23-03-2023 00:00,24-03-2023 00:00,21.26,0.48
24-03-2023 00:00,25-03-2023 00:00,29.72,0.63
25-03-2023 00:00,26-03-2023 00:00,13.32,0.38
26-03-2023 00:00,27-03-2023 00:00,17.28,0.49
27-03-2023 00:00,28-03-2023 00:00,24.36,0.51
28-03-2023 00:00,29-03-2023 00:00,24.06,0.52
29-03-2023 00:00,30-03-2023 00:00,23.58,0.57
30-03-2023 00:00,31-03-2023 00:00,21.27,0.44
31-03-2023 00:00,01-04-2023 00:00,12.28,0.25
