From Date,To Date,PM2.5,CO
16-02-2023 00:00,17-02-2023 00:00,22.34,1.03
17-02-2023 00:00,18-02-2023 00:00,30.45,1.25
18-02-2023 00:00,19-02-2023 00:00,30.45,1.12
19-02-2023 00:00,20-02-2023 00:00,20.52,0.99
20-02-2023 00:00,21-02-2023 00:00,23.76,0.93
21-02-2023 00:00,22-02-2023 00:00,23.59,0.89
22-02-2023 00:00,23-02-2023 00:00,13.26,0.6
23-02-2023 00:00,24-02-2023 00:00,11.55,0.51
24-02-2023 00:00,25-02-2023 00:00,16.51,0.5
25-02-2023 00:00,26-02-2023 00:00,15.24,0.64
26-02-2023 00:00,27-02-2023 00:00,19.76,0.86
27-02-2023 00:00,28-02-2023 00:00,15.66,0.63
28-02-2023 00:00,01-03-2023 00:00,9.9,0.42
01-03-2023 00:00,02-03-2023 00:00,9.23,0.07
02-03-2023 00:00,03-03-2023 00:00,9.98,0.35
03-03-2023 00:00,04-03-2023 00:00,11.52,0.38
04-03-2023 00:00,05-03-2023 00:00,8.2,0.54
05-03-2023 00:00,06-03-2023 00:00,11.4,0.43
06-03-2023 00:00,07-03-2023 00:00,10.01,0.38
07-03-2023 00:00,08-03-2023 00:00,9.35,0.53
08-03-2023 00:00,09-03-2023 00:00,11,0.43
09-03-2023 00:00,10-03-2023 00:00,17.23,0.48
10-03-2023 00:00,11-03-2023 00:00,None,None
11-03-2023 00:00,12-03-2023 00:00,21.59,0.49
12-03-2023 00:00,13-03-2023 00:00,20.05,0.64
13-03-2023 00:00,14-03-2023 00:00,20.2,0.43
14-03-2023 00:00,15-03-2023 00:00,30.65,0.63
15-03-2023 00:00,16-03-2023 00:00,45.8,0.6
16-03-2023 00:00,17-03-2023 00:00,42.72,0.65
17-03-2023 00:00,18-03-2023 00:00,22.41,0.35
18-03-2023 00:00,19-03-2023 00:00,14.36,0.35
19-03-2023 00:00,20-03-2023 00:00,15.33,0.5
20-03-2023 00:00,21-03-2023 00:00,25.56,0.72
21-03-2023 00:00,22-03-2023 00:00,9.08,0.3
22-03-2023 00:00,23-03-2023 00:00,16.69,0.49
23-03-2023 00:00,24-03-2023 00:00,14.45,0.36
24-03-2023 00:00,25-03-2023 00:00,21.23,0.43
25-03-2023 00:00,26-03-2023 00:00,10.87,0.21
26-03-2023 00:00,27-03-2023 00:00,12.1,0.31
27-03-2023 00:00,28-03-2023 00:00,9.32,0.35
28-03-2023 00:00,29-03-2023 00:00,12.44,0.41
29-03-2023 00:00,30-03-2023 00:00,21.59,0.46
30-03-2023 00:00,31-03-2023 00:00,21.93,0.52
31-03-2023 00:00,01-04-2023 00:00,8.41,0.42
01-04-2023 00:00,02-04-2023 00:00,10.19,0.33
02-04-2023 00:00,03-04-2023 00:00,10.41,0.37
03-04-2023 00:00,04-04-2023 00:00,14.48,0.49
04-04-2023 00:00,05-04-2023 00:00,13.16,0.3
05-04-2023 00:00,06-04-2023 00:00,12.26,0.05
06-04-2023 00:00,07-04-2023 00:00,10.06,0.23
07-04-2023 00:00,08-04-2023 00:00,9.48,0.38
08-04-2023 00:00,09-04-2023 00:00,10.97,0.19
09-04-2023 00:00,10-04-2023 00:00,15.17,0.3
10-04-2023 00:00,11-04-2023 00:00,25.27,0.55
11-04-2023 00:00,12-04-2023 00:00,31.46,0.34
12-04-2023 00:00,13-04-2023 00:00,37.86,0.33
13-04-2023 00:00,14-04-2023 00:00,27.56,0.33
14-04-2023 00:00,15-04-2023 00:00,19.62,0.36
15-04-2023 00:00,16-04-2023 00:00,17.84,0.42
16-04-2023 00:00,17-04-2023 00:00,18.05,0.53
17-04-2023 00:00,18-04-2023 00:00,14.73,0.31
18-04-2023 00:00,19-04-2023 00:00,14.9,0.56
19-04-2023 00:00,20-04-2023 00:00,17.16,0.34
20-04-2023 00:00,21-04-2023 00:00,16.46,0.21
21-04-2023 00:00,22-04-2023 00:00,28.82,0.29
22-04-2023 00:00,23-04-2023 00:00,18.03,0.37
23-04-2023 00:00,24-04-2023 00:00,29.83,0.39
24-04-2023 00:00,25-04-2023 00:00,13.62,0.49
25-04-2023 00:00,26-04-2023 00:00,15.76,0.5
26-04-2023 00:00,27-04-2023 00:00,18.83,0.51
27-04-2023 00:00,28-04-2023 00:00,20.32,0.66
28-04-2023 00:00,29-04-2023 00:00,29.62,0.52
29-04-2023 00:00,30-04-2023 00:00,44.39,0.32
30-04-2023 00:00,01-05-2023 00:00,27.66,0.62
01-05-2023 00:00,02-05-2023 00:00,13.42,0.13
02-05-2023 00:00,03-05-2023 00:00,6.5,0.23
03-05-2023 00:00,04-05-2023 00:00,8.15,0.27
04-05-2023 00:00,05-05-2023 00:00,12.6,0.47
05-05-2023 00:00,06-05-2023 00:00,22.02,0.58
06-05-2023 00:00,07-05-2023 00:00,18.72,0.53
07-05-2023 00:00,08-05-2023 00:00,19.73,0.55
08-05-2023 00:00,09-05-2023 00:00,16.43,0.68
09-05-2023 00:00,10-05-2023 00:00,14.9,0.47
