From Date,To Date,CO,PM2.5
16-02-2023 00:00,17-02-2023 00:00,1.42,79.81
17-02-2023 00:00,18-02-2023 00:00,1.56,77.63
18-02-2023 00:00,19-02-2023 00:00,1.11,53.69
19-02-2023 00:00,20-02-2023 00:00,1.21,55.49
20-02-2023 00:00,21-02-2023 00:00,1.03,75.78
21-02-2023 00:00,22-02-2023 00:00,0.96,64.53
22-02-2023 00:00,23-02-2023 00:00,0.7,36.37
23-02-2023 00:00,24-02-2023 00:00,0.67,33.7
24-02-2023 00:00,25-02-2023 00:00,0.7,51.44
25-02-2023 00:00,26-02-2023 00:00,0.84,61.12
26-02-2023 00:00,27-02-2023 00:00,0.96,65.06
27-02-2023 00:00,28-02-2023 00:00,0.79,71.54
28-02-2023 00:00,01-03-2023 00:00,0.63,46.32
01-03-2023 00:00,02-03-2023 00:00,0.62,23.66
02-03-2023 00:00,03-03-2023 00:00,0.66,35.38
03-03-2023 00:00,04-03-2023 00:00,0.62,34.97
04-03-2023 00:00,05-03-2023 00:00,0.63,37.83
05-03-2023 00:00,06-03-2023 00:00,0.66,30.79
06-03-2023 00:00,07-03-2023 00:00,0.68,35.14
07-03-2023 00:00,08-03-2023 00:00,0.69,34.73
08-03-2023 00:00,09-03-2023 00:00,0.69,30.82
09-03-2023 00:00,10-03-2023 00:00,0.64,29.26
10-03-2023 00:00,11-03-2023 00:00,0.66,36.45
11-03-2023 00:00,12-03-2023 00:00,0.83,48.79
12-03-2023 00:00,13-03-2023 00:00,0.8,38.2
13-03-2023 00:00,14-03-2023 00:00,0.86,61.8
14-03-2023 00:00,15-03-2023 00:00,0.81,45.32
15-03-2023 00:00,16-03-2023 00:00,0.86,41.61
16-03-2023 00:00,17-03-2023 00:00,0.77,33.7
17-03-2023 00:00,18-03-2023 00:00,0.7,21.64
18-03-2023 00:00,19-03-2023 00:00,0.76,17.29
19-03-2023 00:00,20-03-2023 00:00,0.86,25.06
20-03-2023 00:00,21-03-2023 00:00,0.75,27.03
21-03-2023 00:00,22-03-2023 00:00,0.7,11.79
22-03-2023 00:00,23-03-2023 00:00,0.77,17.41
23-03-2023 00:00,24-03-2023 00:00,0.78,35.29
24-03-2023 00:00,25-03-2023 00:00,0.77,38.7
25-03-2023 00:00,26-03-2023 00:00,0.69,18.21
26-03-2023 00:00,27-03-2023 00:00,0.68,28.92
27-03-2023 00:00,28-03-2023 00:00,0.68,21.66
28-03-2023 00:00,29-03-2023 00:00,0.77,32.5
29-03-2023 00:00,30-03-2023 00:00,0.89,51.74
30-03-2023 00:00,31-03-2023 00:00,0.79,31.31
31-03-2023 00:00,01-04-2023 00:00,0.67,12.33
01-04-2023 00:00,02-04-2023 00:00,0.67,14.21
02-04-2023 00:00,03-04-2023 00:00,0.72,14.68
03-04-2023 00:00,04-04-2023 00:00,0.65,20.57
04-04-2023 00:00,05-04-2023 00:00,0.63,22.69
05-04-2023 00:00,06-04-2023 00:00,0.66,28.67
06-04-2023 00:00,07-04-2023 00:00,0.62,26.58
07-04-2023 00:00,08-04-2023 00:00,0.8,26.86
08-04-2023 00:00,09-04-2023 00:00,0.96,27.13
09-04-2023 00:00,10-04-2023 00:00,0.97,28.03
10-04-2023 00:00,11-04-2023 00:00,0.93,37.16
11-04-2023 00:00,12-04-2023 00:00,0.89,31.25
12-04-2023 00:00,13-04-2023 00:00,0.95,31.13
13-04-2023 00:00,14-04-2023 00:00,0.82,41.45
14-04-2023 00:00,15-04-2023 00:00,1.04,57.94
15-04-2023 00:00,16-04-2023 00:00,1.08,69.91
16-04-2023 00:00,17-04-2023 00:00,0.68,53.07
17-04-2023 00:00,18-04-2023 00:00,0.92,49.8
18-04-2023 00:00,19-04-2023 00:00,0.82,57.85
19-04-2023 00:00,20-04-2023 00:00,0.68,38.28
20-04-2023 00:00,21-04-2023 00:00,0.59,21.94
21-04-2023 00:00,22-04-2023 00:00,0.6,20.2
22-04-2023 00:00,23-04-2023 00:00,0.63,18.92
23-04-2023 00:00,24-04-2023 00:00,0.77,25.09
24-04-2023 00:00,25-04-2023 00:00,0.86,45.01
25-04-2023 00:00,26-04-2023 00:00,0.9,39.87
26-04-2023 00:00,27-04-2023 00:00,0.98,34.57
27-04-2023 00:00,28-04-2023 00:00,0.96,36.7
28-04-2023 00:00,29-04-2023 00:00,1,37.61
29-04-2023 00:00,30-04-2023 00:00,1.1,56
